"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Extended Test Coverage","Negative Tests","Error Messages","0","0","1","0","0"
"Extended Test Coverage","Data-Driven Tests","Website Accessibility","0","0","5","0","0"
"Mobile Testing","Responsive Design Validation","Breakpoint Validation","0","0","8","0","0"
"Selenium Grid Testing","Basic Grid Tests","Basic Navigation","0","0","2","0","0"
"","","","0","0","18","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Search Functionality","0","0","1","0","0"
"Extended Test Coverage","Data-Driven Tests","Edge Cases","0","0","4","0","0"
"Mobile Testing","Mobile Browser Tests","Mobile Performance","0","0","1","0","0"
"Smoke Tests","Critical Path Verification","Core Navigation","0","0","1","0","0"
"Extended Test Coverage","Data-Driven Tests","Search Functionality","0","0","7","0","0"
"Smoke Tests","Secret Manager Integration","API Key Retrieval","0","0","1","0","0"
"Extended Test Coverage","Advanced Features","Performance","0","0","1","0","0"
"Smoke Tests","Critical Path Verification","Grid Infrastructure","0","0","1","0","0"
"Extended Test Coverage","Negative Tests","Element Interaction","0","0","1","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Form Interactions","0","0","1","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Homepage Navigation","0","0","2","0","0"
"Extended Test Coverage","Advanced Features","Keyboard Actions","0","0","1","0","0"
"API Testing","API Contract Testing","YourMembership API","0","0","1","0","0"
"Mobile Testing","Mobile Browser Tests","Mobile Viewport","0","0","1","0","0"
"API Testing","API Contract Testing","OAuth Authentication","0","0","1","0","0"
"Extended Test Coverage","Advanced Features","Cookie Management","0","0","1","0","0"
"API Testing","API Contract Testing","Webinar List","0","0","1","0","0"
"Mobile Testing","Mobile Browser Tests","Mobile Form Input","0","0","1","0","0"
"Mobile Testing","Responsive Design Validation","Image Optimization","0","0","1","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Responsive Design","0","0","1","0","0"
"Extended Test Coverage","Advanced Features","JavaScript Execution","0","0","1","0","0"
"Smoke Tests","Critical Path Verification","Core Functionality","0","0","1","0","0"
"Extended Test Coverage","Advanced Features","Page Navigation","0","0","1","0","0"
"Mobile Testing","Mobile Browser Tests","Responsive Design","0","0","4","0","0"
"Extended Test Coverage","Negative Tests","Error Recovery","0","0","1","0","0"
"Extended Test Coverage","Negative Tests","Timeout Handling","0","0","1","0","0"
"Smoke Tests","Critical Path Verification","Multi-Page Navigation","0","0","1","0","0"
"Mobile Testing","Responsive Design Validation","Multi-Viewport Testing","0","0","1","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Performance Testing","0","0","1","0","0"
"Selenium Grid Testing","Basic Grid Tests","Grid Connection","0","0","1","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Multi-Site Navigation","0","0","1","0","0"
"Extended Test Coverage","Advanced Features","Element Properties","0","0","1","0","0"
"Smoke Tests","Secret Manager Integration","Secret Manager Connectivity","0","0","1","0","0"
"Mobile Testing","Responsive Design Validation","Portrait vs Landscape","0","0","1","0","0"
"Extended Test Coverage","Negative Tests","Error Handling","0","0","2","0","0"
"Mobile Testing","Responsive Design Validation","Mobile Navigation","0","0","1","0","0"
"Mobile Testing","Mobile Browser Tests","Touch Interactions","0","0","1","0","0"
"Mobile Testing","Mobile Browser Tests","Mobile Device Emulation","0","0","1","0","0"
"Mobile Testing","Responsive Design Validation","Font Legibility","0","0","1","0","0"
"Extended Test Coverage","Advanced Features","Window Management","0","0","1","0","0"
"Extended Test Coverage","Negative Tests","Element State","0","0","1","0","0"
"Smoke Tests","Secret Manager Integration","Secret Manager Direct Access","0","0","1","0","0"
"Selenium Grid Testing","Enhanced Grid Tests","Browser Features","0","0","1","0","0"
"Smoke Tests","Critical Path Verification","Form Interaction","0","0","1","0","0"
